crop,problem_type,problem_name,scientific_name,symptoms,treatment,prevention,severity_level,affected_plant_part,favorable_conditions,economic_loss_percent,treatment_cost_per_hectare,occurrence_season,geographical_distribution,resistance_available,organic_treatment,diagnostic_method,spread_mechanism,quarantine_importance,ipm_strategy
rice,disease,blast,Magnaporthe grisea,diamond shaped spots on leaves and panicles with gray centers,tricyclazole 75% WP @ 0.6 g/liter,"resistant varieties like Pusa Basmati, balanced fertilization",medium,grain,high_humidity_warm,63,3582,rabi,southern_states,no,bacillus_subtilis,pcr_test,seeds,high,"Integrated approach using resistant varieties like Pusa Basmati, balanced fertilization and tricyclazole 75% WP @ 0.6 g/liter"
rice,disease,bacterial_blight,Xanthomonas oryzae pv. oryzae,yellow stripes on leaves turning brown with wavy margins,copper oxychloride 50% WP @ 3 g/liter,"certified seeds, avoid excess nitrogen",medium,whole_plant,wet_cool_weather,48,2729,summer,southern_states,yes,copper_fungicide,visual_symptoms,water,medium,"Integrated approach using certified seeds, avoid excess nitrogen and copper oxychloride 50% WP @ 3 g/liter"
rice,disease,sheath_blight,Rhizoctonia solani,elliptical lesions on leaf sheaths near water level,propiconazole 25% EC @ 1 ml/liter,"proper plant spacing, silicon application",medium,root,wet_cool_weather,45,3334,rabi,all_india,limited,pseudomonas,visual_symptoms,water,high,"Integrated approach using proper plant spacing, silicon application and propiconazole 25% EC @ 1 ml/liter"
rice,disease,brown_spot,Bipolaris oryzae,brown oval spots with yellow halo on leaves,mancozeb 75% WP @ 2.5 g/liter,"potash application, seed treatment",medium,root,wet_cool_weather,29,1191,year_round,northern_states,limited,neem_oil,visual_symptoms,insects,medium,"Integrated approach using potash application, seed treatment and mancozeb 75% WP @ 2.5 g/liter"
rice,disease,false_smut,Ustilaginoidea virens,individual grains transformed into greenish velvety balls,copper oxychloride @ 3 g/liter,avoid late nitrogen application,severe,stem,high_temperature,68,3697,kharif,northern_states,no,pseudomonas,elisa_test,insects,high,Integrated approach using avoid late nitrogen application and copper oxychloride @ 3 g/liter
rice,disease,tungro_virus,Rice tungro spherical virus,yellow orange discoloration starting from leaf tips,no direct treatment available,control green leafhopper vector,medium,stem,waterlogged_conditions,39,1677,year_round,eastern_states,no,bacillus_subtilis,elisa_test,water,medium,Integrated approach using control green leafhopper vector and no direct treatment available
rice,disease,ragged_stunt,Rice ragged stunt virus,stunted growth with twisted and ragged leaves,no direct treatment available,control brown planthopper vector,severe,root,wet_cool_weather,59,2490,rabi,northern_states,limited,copper_fungicide,visual_symptoms,soil,high,Integrated approach using control brown planthopper vector and no direct treatment available
rice,disease,foot_rot,Fusarium moniliforme,rotting at base of stem leading to lodging,carbendazim seed treatment @ 2 g/kg seed,"proper drainage, avoid deep sowing",medium,whole_plant,high_humidity_warm,42,3877,summer,eastern_states,limited,neem_oil,visual_symptoms,seeds,medium,"Integrated approach using proper drainage, avoid deep sowing and carbendazim seed treatment @ 2 g/kg seed"
rice,pest,yellow_stem_borer,Scirpophaga incertulas,"deadheart in vegetative stage, whitehead in reproductive stage",cartap hydrochloride 4G @ 18.75 kg/ha,"pheromone traps @ 8/ha, resistant varieties",high,stem,cool_weather,73,1069,year_round,all_india,yes,sticky_traps,visual_identification,wind,medium,"Integrated approach using pheromone traps @ 8/ha, resistant varieties and cartap hydrochloride 4G @ 18.75 kg/ha"
rice,pest,brown_planthopper,Nilaparvata lugens,"hopperburn, yellowing and drying from base upward",imidacloprid 17.8% SL @ 0.4 ml/liter,"avoid excess nitrogen, resistant varieties",severe,leaf,cool_weather,61,3172,kharif,western_states,no,neem_oil,visual_identification,human_activity,medium,"Integrated approach using avoid excess nitrogen, resistant varieties and imidacloprid 17.8% SL @ 0.4 ml/liter"
