state,crop,crop_category,suitability_score,priority,primary_season,agro_climatic_zone,area_under_cultivation_hectares,average_yield_kg_per_hectare,production_tons,productivity_kg_per_hectare_per_day,water_requirement_mm,temperature_min_celsius,temperature_max_celsius,soil_ph_min,soil_ph_max,rainfall_requirement_mm
Andhra Pradesh,rice,cereals,89.9,high,kharif,southern_india,214970,5190,367686,12,275,22,37,6.2,7,1172
Andhra Pradesh,wheat,cereals,67.5,low,rabi,southern_india,7717,2283,99141,28.6,761,14,37,5.6,7.4,629
Andhra Pradesh,maize,cereals,61.8,low,kharif,southern_india,14383,4599,328521,7.1,989,12,26,6.4,8.4,1027
Andhra Pradesh,barley,cereals,44.6,very_low,rabi,southern_india,8216,4081,11775,27.3,244,23,30,6.2,7.5,768
Andhra Pradesh,jowar_sorghum,cereals,92.1,high,kharif,southern_india,172376,6425,1335910,45.3,977,23,26,5.7,7.1,592
Andhra Pradesh,bajra_pearl_millet,cereals,90.1,high,kharif,southern_india,158368,3497,429970,29.4,383,22,26,6.5,8.2,478
Andhra Pradesh,ragi_finger_millet,cereals,85.1,high,kharif,southern_india,193289,6103,1680876,8.3,666,11,42,6.1,7.5,357
Andhra Pradesh,foxtail_millet,cereals,44.7,very_low,kharif,southern_india,12085,5462,117156,26.2,355,20,40,6.1,8.2,744
Andhra Pradesh,proso_millet,cereals,47.8,very_low,kharif,southern_india,652,1755,4843,33.6,608,17,43,5.7,7.6,979
Andhra Pradesh,barnyard_millet,cereals,43.4,very_low,kharif,southern_india,3425,2128,85834,41.4,1023,23,41,5.7,8.3,785
Andhra Pradesh,little_millet,cereals,52.1,very_low,kharif,southern_india,9069,1770,51130,24.2,1263,22,25,6,7.6,499
Andhra Pradesh,kodo_millet,cereals,41.8,very_low,kharif,southern_india,15805,3262,69608,36.6,672,24,44,5.8,7.7,570
Andhra Pradesh,oats,cereals,44.3,very_low,kharif,southern_india,6587,4518,4523,17.5,1380,13,27,6,8.5,517
Andhra Pradesh,gram_chickpea,pulses,50.1,very_low,rabi,southern_india,6188,6097,74399,33.5,1023,18,26,6.3,7.5,467
Andhra Pradesh,tur_arhar,pulses,40.6,very_low,kharif,southern_india,14853,1116,89488,15.2,1038,12,38,5.9,8.4,423
Andhra Pradesh,moong_green_gram,pulses,45.1,very_low,kharif,southern_india,11354,7141,25409,34.7,1262,18,35,5.7,7.1,1107
Andhra Pradesh,urad_black_gram,pulses,53.5,very_low,kharif,southern_india,7832,3444,131675,45.4,1353,21,37,5.6,7.2,1108
Andhra Pradesh,masur_lentil,pulses,49.1,very_low,kharif,southern_india,1124,5644,513,12.2,913,20,38,5.7,8.1,513
Andhra Pradesh,rajma_kidney_bean,pulses,44.9,very_low,kharif,southern_india,16282,6944,131238,30.6,321,15,30,5.7,8.5,653
Andhra Pradesh,cowpea_lobhia,pulses,53.4,very_low,kharif,southern_india,18027,4518,104505,27.2,453,20,30,5.5,8,459
Andhra Pradesh,field_pea,pulses,54.1,very_low,kharif,southern_india,26627,3591,3881,46.8,756,24,44,6.4,7.4,646
Andhra Pradesh,black_eyed_pea,pulses,52.8,very_low,kharif,southern_india,2904,4897,122372,36.3,941,11,37,6.5,7.2,766
Andhra Pradesh,horse_gram,pulses,53.2,very_low,kharif,southern_india,17371,5917,71526,18.2,1252,22,42,6.4,7.8,751
Andhra Pradesh,moth_bean,pulses,52,very_low,kharif,southern_india,16213,6570,163781,20.2,688,11,36,5.5,7.7,788
Andhra Pradesh,cluster_bean_guar,pulses,44.3,very_low,kharif,southern_india,876,1261,143609,21.2,365,17,40,5.7,7.9,376
Andhra Pradesh,groundnut_peanut,oilseeds,85.7,high,kharif,southern_india,125240,5462,1334913,48.9,871,14,40,5.8,7.7,370
Andhra Pradesh,mustard,oilseeds,40.4,very_low,rabi,southern_india,24502,5871,95877,12.8,403,13,35,6.2,8,551
